2017-12-28 03:26:22 视频 线扫相机初始化成功。
2017-12-28 03:26:22 采集卡 采集卡0初始化成功。
2017-12-28 03:26:22 采集卡 采集卡1初始化成功。
2017-12-28 03:26:22 采集卡 采集卡2初始化成功。
2017-12-28 03:26:22 采集卡 采集卡3初始化成功。
2017-12-28 03:26:23 高压电源 192.168.127.251:高压电源初始化成功
2017-12-28 03:26:23 高压电源 192.168.127.253:高压电源初始化成功
2017-12-28 03:26:23 高压电源 192.168.127.252:高压电源初始化成功
2017-12-28 03:26:23 PLC 手动运行应答成功(AC01)
2017-12-28 03:26:23 PLC PLC始化成功
2017-12-28 03:26:23 上位机 车牌初始化成功
2017-12-28 03:26:28 采集卡 开始采集图片
2017-12-28 03:26:28 采集卡 启动采集
2017-12-28 03:27:19 采集卡 采集完成
2017-12-28 03:27:27 采集卡 容积99
2017-12-28 03:27:28 采集卡 生成图片数组
2017-12-28 03:27:59 采集卡 图片长度6476
2017-12-28 03:28:49 PLC 关道闸1应答成功(AC05)
2017-12-28 03:28:50 PLC 关道闸2应答成功(AC16)
2017-12-28 03:28:50 高压电源 192.168.127.251打开高压
2017-12-28 03:28:51 高压电源 192.168.127.253打开高压
2017-12-28 03:28:51 高压电源 192.168.127.252打开高压
2017-12-28 03:28:51 高压电源 训机结束
2017-12-28 03:28:51 PLC 手动运行应答成功(AC01)
2017-12-28 03:28:51 采集卡 开始采集本底
2017-12-28 03:28:51 采集卡 启动采集
2017-12-28 03:28:51 采集卡 采集完成
2017-12-28 03:28:51 PLC 快门开应答成功(AC02)
2017-12-28 03:28:52 PLC 快门3打开(S13)
2017-12-28 03:28:54 采集卡 开始采集满度
2017-12-28 03:28:54 采集卡 启动采集
2017-12-28 03:28:54 采集卡 采集完成
2017-12-28 03:28:54 采集卡 开始采集图片
2017-12-28 03:28:54 采集卡 启动采集
2017-12-28 03:28:56 采集卡 停止采集
2017-12-28 03:28:56 采集卡 采集完成
2017-12-28 03:28:56 采集卡 容积99
2017-12-28 03:28:56 采集卡 生成图片数组
2017-12-28 03:29:01 PLC 快门2打开(S08)
2017-12-28 03:29:01 PLC 快门关应答成功(AC03)
2017-12-28 03:29:01 PLC 快门2关闭(S09)
2017-12-28 03:29:01 PLC 快门关闭(S06)
2017-12-28 03:29:01 PLC 快门3打开(S13)
2017-12-28 03:29:01 PLC 快门2打开(S08)
2017-12-28 03:29:01 PLC 快门3关闭(S14)
2017-12-28 03:29:01 PLC 快门2关闭(S09)
2017-12-28 03:29:01 PLC 自动运行应答成功(AC00)
2017-12-28 03:29:01 采集卡 图片长度17917
2017-12-28 03:29:37 采集卡 开始采集图片
2017-12-28 03:29:37 采集卡 启动采集
2017-12-28 03:29:40 PLC 快门开应答成功(AC02)
2017-12-28 03:29:40 PLC 快门3打开(S13)
2017-12-28 03:29:40 PLC 快门2打开(S08)
2017-12-28 03:29:43 PLC 快门关应答成功(AC03)
2017-12-28 03:29:43 PLC 快门2关闭(S09)
2017-12-28 03:29:43 PLC 快门关闭(S06)
2017-12-28 03:29:43 PLC 快门3打开(S13)
2017-12-28 03:29:43 PLC 快门2打开(S08)
2017-12-28 03:29:43 PLC 快门3关闭(S14)
2017-12-28 03:29:43 PLC 快门2关闭(S09)
2017-12-28 03:30:09 PLC 快门开应答成功(AC02)
2017-12-28 03:30:10 PLC 快门3打开(S13)
2017-12-28 03:30:12 PLC 快门关应答成功(AC03)
2017-12-28 03:30:12 PLC 快门2关闭(S09)
2017-12-28 03:30:12 PLC 快门关闭(S06)
2017-12-28 03:30:12 PLC 快门3打开(S13)
2017-12-28 03:30:12 PLC 快门2打开(S08)
2017-12-28 03:30:12 PLC 快门3关闭(S14)
2017-12-28 03:30:12 PLC 快门2关闭(S09)
2017-12-28 03:30:16 PLC 快门开应答成功(AC02)
2017-12-28 03:30:17 PLC 快门3打开(S13)
2017-12-28 03:30:17 PLC 快门2打开(S08)
2017-12-28 03:30:20 PLC 快门关应答成功(AC03)
2017-12-28 03:30:20 PLC 快门2关闭(S09)
2017-12-28 03:30:20 PLC 快门关闭(S06)
2017-12-28 03:30:20 PLC 快门3打开(S13)
2017-12-28 03:30:20 PLC 快门2打开(S08)
2017-12-28 03:30:20 PLC 快门3关闭(S14)
2017-12-28 03:30:20 PLC 快门2关闭(S09)
2017-12-28 03:30:24 PLC 快门开应答成功(AC02)
2017-12-28 03:30:24 PLC 快门3打开(S13)
2017-12-28 03:30:26 PLC 快门关应答成功(AC03)
2017-12-28 03:30:27 PLC 快门2关闭(S09)
2017-12-28 03:30:27 PLC 快门关闭(S06)
2017-12-28 03:30:27 PLC 快门3打开(S13)
2017-12-28 03:30:27 PLC 快门2打开(S08)
2017-12-28 03:30:27 PLC 快门3关闭(S14)
2017-12-28 03:30:27 PLC 快门2关闭(S09)
2017-12-28 03:30:28 采集卡 采集完成
2017-12-28 03:30:37 采集卡 容积99
2017-12-28 03:30:37 采集卡 生成图片数组
2017-12-28 03:30:40 采集卡 图片长度72408
2017-12-28 03:30:54 高压电源 192.168.127.251关闭高压
2017-12-28 03:30:55 高压电源 192.168.127.252关闭高压
2017-12-28 03:30:55 高压电源 192.168.127.253关闭高压
