2019-01-13 20:06:55 上位机 车牌初始化成功
2019-01-13 20:06:55 PLC 手动运行应答成功(AC01)
2019-01-13 20:06:55 PLC PLC始化成功
2019-01-13 20:06:57 采集卡 192.168.1.26初始化成功。
2019-01-13 20:06:57 采集卡 192.168.1.28初始化成功。
2019-01-13 20:06:57 采集卡 192.168.1.27初始化成功。
2019-01-13 20:06:57 高压电源 192.168.127.251:高压电源初始化成功
2019-01-13 20:06:57 高压电源 192.168.127.252:高压电源初始化成功
2019-01-13 20:07:10 PLC 触发线圈2(S02)
2019-01-13 20:07:36 PLC 触发线圈2(S02)
2019-01-13 20:08:11 PLC 触发线圈2(S02)
2019-01-13 20:08:49 PLC 关道闸1应答成功(AC05)
2019-01-13 20:08:50 PLC 关道闸2应答成功(AC16)
2019-01-13 20:08:50 高压电源 192.168.127.251打开高压
2019-01-13 20:08:51 高压电源 192.168.127.252打开高压
2019-01-13 20:08:51 高压电源 训机结束
2019-01-13 20:08:51 高压电源 192.168.127.251打开高压
2019-01-13 20:08:51 高压电源 192.168.127.252打开高压
2019-01-13 20:08:51 PLC 手动运行应答成功(AC01)
2019-01-13 20:08:51 PLC 开接收器(AC17)
2019-01-13 20:08:52 PLC 快门开应答成功(AC02)
2019-01-13 20:08:52 PLC 快门打开(S05)
2019-01-13 20:08:53 采集卡 开始采集满度
2019-01-13 20:08:53 采集卡 启动采集
2019-01-13 20:08:53 采集卡 采集完成
2019-01-13 20:08:53 采集卡 转换数据
2019-01-13 20:08:53 PLC 快门关应答成功(AC03)
2019-01-13 20:08:53 PLC 快门关闭(S06)
2019-01-13 20:08:54 高压电源 192.168.127.251关闭高压
2019-01-13 20:08:55 高压电源 192.168.127.252关闭高压
2019-01-13 20:08:55 采集卡 开始采集本底
2019-01-13 20:08:55 采集卡 启动采集
2019-01-13 20:08:56 采集卡 采集完成
2019-01-13 20:08:56 采集卡 转换数据
2019-01-13 20:08:56 高压电源 192.168.127.251打开高压
2019-01-13 20:08:56 高压电源 192.168.127.252打开高压
2019-01-13 20:08:57 PLC 快门开应答成功(AC02)
2019-01-13 20:08:57 PLC 快门打开(S05)
2019-01-13 20:08:59 采集卡 开始采集图片
2019-01-13 20:08:59 采集卡 启动采集
2019-01-13 20:09:01 采集卡 停止采集
2019-01-13 20:09:01 采集卡 采集完成
2019-01-13 20:09:01 采集卡 转换数据
2019-01-13 20:09:01 采集卡 转换AD
2019-01-13 20:09:01 采集卡 修改点
2019-01-13 20:09:01 采集卡 GAMMA
2019-01-13 20:09:01 采集卡 容积99
2019-01-13 20:09:01 采集卡 反转图像
2019-01-13 20:09:01 采集卡 生成图片数组
2019-01-13 20:09:01 采集卡 图片长度10655
2019-01-13 20:09:03 PLC 快门关应答成功(AC03)
2019-01-13 20:09:03 PLC 快门关闭(S06)
2019-01-13 20:09:03 PLC 自动运行应答成功(AC00)
2019-01-13 20:11:13 PLC 触发线圈2(S02)
2019-01-13 20:11:13 下位机 打开高压
2019-01-13 20:11:13 高压电源 192.168.127.251打开高压
2019-01-13 20:11:13 高压电源 192.168.127.252打开高压
2019-01-13 20:11:13 视频 开始线扫
2019-01-13 20:11:14 PLC 自动运行应答成功(AC00)
2019-01-13 20:11:58 PLC 自动运行应答成功(AC00)
2019-01-13 20:12:03 PLC 触发线圈2(S02)
2019-01-13 20:12:03 下位机 打开高压
2019-01-13 20:12:03 高压电源 192.168.127.251打开高压
2019-01-13 20:12:03 高压电源 192.168.127.252打开高压
2019-01-13 20:12:03 视频 开始线扫
2019-01-13 20:12:43 高压电源 192.168.127.251关闭高压
2019-01-13 20:12:43 高压电源 192.168.127.252关闭高压
2019-01-13 20:12:45 PLC 手动运行应答成功(AC01)
2019-01-13 20:12:47 PLC 开道闸1应答成功(AC04)
2019-01-13 20:12:47 PLC 开道闸2应答成功(AC15)
2019-01-13 20:12:49 PLC 触发线圈2(S02)
2019-01-13 20:12:52 PLC 触发线圈3(S03)
2019-01-13 20:12:52 PLC 关道闸1应答成功(AC05)
2019-01-13 20:12:53 PLC 关道闸2应答成功(AC16)
2019-01-13 20:12:53 高压电源 192.168.127.251打开高压
2019-01-13 20:12:54 高压电源 192.168.127.252打开高压
2019-01-13 20:12:54 高压电源 训机结束
2019-01-13 20:12:54 高压电源 192.168.127.251打开高压
2019-01-13 20:12:54 高压电源 192.168.127.252打开高压
2019-01-13 20:12:54 PLC 手动运行应答成功(AC01)
2019-01-13 20:12:54 PLC 开接收器(AC17)
2019-01-13 20:12:55 PLC 快门开应答成功(AC02)
2019-01-13 20:12:55 PLC 快门打开(S05)
2019-01-13 20:12:56 采集卡 开始采集满度
2019-01-13 20:12:56 采集卡 启动采集
2019-01-13 20:12:56 采集卡 采集完成
2019-01-13 20:12:56 采集卡 转换数据
2019-01-13 20:12:56 PLC 快门关应答成功(AC03)
2019-01-13 20:12:56 PLC 快门关闭(S06)
2019-01-13 20:12:58 高压电源 192.168.127.251关闭高压
2019-01-13 20:12:58 高压电源 192.168.127.252关闭高压
2019-01-13 20:12:58 采集卡 开始采集本底
2019-01-13 20:12:58 采集卡 启动采集
2019-01-13 20:12:59 采集卡 采集完成
2019-01-13 20:12:59 采集卡 转换数据
2019-01-13 20:12:59 高压电源 192.168.127.251打开高压
2019-01-13 20:12:59 高压电源 192.168.127.252打开高压
2019-01-13 20:13:00 PLC 快门开应答成功(AC02)
2019-01-13 20:13:00 PLC 快门打开(S05)
2019-01-13 20:13:02 采集卡 开始采集图片
2019-01-13 20:13:02 采集卡 启动采集
2019-01-13 20:13:04 采集卡 停止采集
2019-01-13 20:13:04 采集卡 采集完成
2019-01-13 20:13:04 采集卡 转换数据
2019-01-13 20:13:05 采集卡 转换AD
2019-01-13 20:13:05 采集卡 修改点
2019-01-13 20:13:05 采集卡 GAMMA
2019-01-13 20:13:05 采集卡 容积99
2019-01-13 20:13:05 采集卡 反转图像
2019-01-13 20:13:05 采集卡 生成图片数组
2019-01-13 20:13:05 采集卡 图片长度10742
2019-01-13 20:13:06 PLC 快门关应答成功(AC03)
2019-01-13 20:13:06 PLC 快门关闭(S06)
2019-01-13 20:13:06 视频 结束线扫
2019-01-13 20:13:06 PLC 自动运行应答成功(AC00)
2019-01-13 20:13:26 高压电源 192.168.127.251关闭高压
2019-01-13 20:13:27 高压电源 192.168.127.252关闭高压
2019-01-13 20:13:32 PLC 手动运行应答成功(AC01)
2019-01-13 20:13:33 PLC 开道闸1应答成功(AC04)
2019-01-13 20:13:33 PLC 开道闸2应答成功(AC15)
2019-01-13 20:13:36 高压电源 192.168.127.251关闭高压
2019-01-13 20:13:36 高压电源 192.168.127.252关闭高压
